Trace File Name, Cache Size, Block Size, Replacement Policy, Associativity, Total Blocks, Tag Size (bits), Index Size (bits), Total Indices, Overhead Memory Size (KB), Implementation Memory Size (KB), Total Cache Accesses, Cache Hits, Cache Misses, Compulsory Misses, Conflict Misses, Hit Rate %, Miss Rate %, CPI
"Trace1A.trc", 64, 64, RND, 2, 1024, 17, 9, 512, 2304, 67840, 37895, 37074, 821, 547, 274, 97.8, 2.2, 4.0
"Trace1A.trc", 256, 4, RR, 2, 65536, 15, 15, 32768, 131072, 393216, 52687, 49667, 3020, 3006, 14, 94.3, 5.7, 4.6
"Trace1A.trc", 256, 4, RND, 2, 65536, 15, 15, 32768, 131072, 393216, 52687, 49468, 3219, 3057, 162, 93.9, 6.1, 4.7
"Trace1A.trc", 256, 16, RR, 2, 16384, 15, 13, 8192, 32768, 294912, 40037, 38739, 1298, 1271, 27, 96.8, 3.2, 4.1
"Trace1A.trc", 256, 16, RND, 2, 16384, 15, 13, 8192, 32768, 294912, 40037, 38611, 1426, 1300, 126, 96.4, 3.6, 4.1
"Trace1A.trc", 256, 64, RR, 2, 4096, 15, 11, 2048, 8192, 270336, 37895, 37212, 683, 648, 35, 98.2, 1.8, 4.0
"Trace1A.trc", 256, 64, RND, 2, 4096, 15, 11, 2048, 8192, 270336, 37895, 37115, 780, 663, 117, 97.9, 2.1, 4.0
"Trace1A.trc", 1024, 4, RR, 2, 262144, 13, 17, 131072, 458752, 1507328, 52687, 49669, 3018, 3012, 6, 94.3, 5.7, 4.6
"Trace1A.trc", 1024, 4, RND, 2, 262144, 13, 17, 131072, 458752, 1507328, 52687, 49467, 3220, 3088, 132, 93.9, 6.1, 4.7
"Trace1A.trc", 1024, 16, RR, 2, 65536, 13, 15, 32768, 114688, 1163264, 40037, 38741, 1296, 1287, 9, 96.8, 3.2, 4.1
"Trace1A.trc", 1024, 16, RND, 2, 65536, 13, 15, 32768, 114688, 1163264, 40037, 38617, 1420, 1336, 84, 96.5, 3.5, 4.1
"Trace1A.trc", 1024, 64, RR, 2, 16384, 13, 13, 8192, 28672, 1077248, 37895, 37217, 678, 666, 12, 98.2, 1.8, 4.0
"Trace1A.trc", 1024, 64, RND, 2, 16384, 13, 13, 8192, 28672, 1077248, 37895, 37130, 765, 702, 63, 98.0, 2.0, 4.0
