Trace File Name, Cache Size (KB), Block Size (bytes), Replacement Policy, Associativity, Total Blocks, Tag Size (bits), Index Size (bits), Total Indices, Overhead Memory Size (KB), Implementation Memory Size (KB), Total Cache Accesses, Cache Hits, Cache Misses, Compulsory Misses, Conflict Misses, Hit Rate %, Miss Rate %, CPI
"TinyTrace.trc", 64, 16, RND, 2, 4096, 17, 11, 2048, 9216, 74752, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 16, RND, 4, 4096, 18, 10, 1024, 9728, 75264, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 16, RND, 8, 4096, 19, 9, 512, 10240, 75776, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 16, RND, 16, 4096, 20, 8, 256, 10752, 76288, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 16, LRU, 1, 4096, 16, 12, 4096, 8704, 74240, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 16, LRU, 2, 4096, 17, 11, 2048, 9216, 74752, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 16, LRU, 4, 4096, 18, 10, 1024, 9728, 75264, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 16, LRU, 8, 4096, 19, 9, 512, 10240, 75776, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 16, LRU, 16, 4096, 20, 8, 256, 10752, 76288, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 32, RR, 1, 2048, 16, 11, 2048, 4352, 69888, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 32, RR, 2, 2048, 17, 10, 1024, 4608, 70144, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 32, RR, 4, 2048, 18, 9, 512, 4864, 70400, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 32, RR, 8, 2048, 19, 8, 256, 5120, 70656, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 32, RR, 16, 2048, 20, 7, 128, 5376, 70912, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 32, RND, 1, 2048, 16, 11, 2048, 4352, 69888, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 32, RND, 2, 2048, 17, 10, 1024, 4608, 70144, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 32, RND, 4, 2048, 18, 9, 512, 4864, 70400, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 32, RND, 8, 2048, 19, 8, 256, 5120, 70656, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 32, RND, 16, 2048, 20, 7, 128, 5376, 70912, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 32, LRU, 1, 2048, 16, 11, 2048, 4352, 69888, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 32, LRU, 2, 2048, 17, 10, 1024, 4608, 70144, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 32, LRU, 4, 2048, 18, 9, 512, 4864, 70400, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 32, LRU, 8, 2048, 19, 8, 256, 5120, 70656, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 32, LRU, 16, 2048, 20, 7, 128, 5376, 70912, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 64, RR, 1, 1024, 16, 10, 1024, 2176, 67712, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 64, RR, 2, 1024, 17, 9, 512, 2304, 67840, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 64, RR, 4, 1024, 18, 8, 256, 2432, 67968, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 64, RR, 8, 1024, 19, 7, 128, 2560, 68096, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 64, RR, 16, 1024, 20, 6, 64, 2688, 68224, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 64, RND, 1, 1024, 16, 10, 1024, 2176, 67712, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 64, RND, 2, 1024, 17, 9, 512, 2304, 67840, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 64, RND, 4, 1024, 18, 8, 256, 2432, 67968, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 64, RND, 8, 1024, 19, 7, 128, 2560, 68096, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 64, RND, 16, 1024, 20, 6, 64, 2688, 68224, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 64, LRU, 1, 1024, 16, 10, 1024, 2176, 67712, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 64, LRU, 2, 1024, 17, 9, 512, 2304, 67840, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 64, LRU, 4, 1024, 18, 8, 256, 2432, 67968, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 64, LRU, 8, 1024, 19, 7, 128, 2560, 68096, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 64, 64, LRU, 16, 1024, 20, 6, 64, 2688, 68224, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 4, RR, 1, 65536, 14, 16, 65536, 122880, 385024, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 256, 4, RR, 2, 65536, 15, 15, 32768, 131072, 393216, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 256, 4, RR, 4, 65536, 16, 14, 16384, 139264, 401408, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 256, 4, RR, 8, 65536, 17, 13, 8192, 147456, 409600, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 256, 4, RR, 16, 65536, 18, 12, 4096, 155648, 417792, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 256, 4, RND, 1, 65536, 14, 16, 65536, 122880, 385024, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 256, 4, RND, 2, 65536, 15, 15, 32768, 131072, 393216, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 256, 4, RND, 4, 65536, 16, 14, 16384, 139264, 401408, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 256, 4, RND, 8, 65536, 17, 13, 8192, 147456, 409600, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 256, 4, RND, 16, 65536, 18, 12, 4096, 155648, 417792, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 256, 4, LRU, 1, 65536, 14, 16, 65536, 122880, 385024, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 256, 4, LRU, 2, 65536, 15, 15, 32768, 131072, 393216, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 256, 4, LRU, 4, 65536, 16, 14, 16384, 139264, 401408, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 256, 4, LRU, 8, 65536, 17, 13, 8192, 147456, 409600, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 256, 4, LRU, 16, 65536, 18, 12, 4096, 155648, 417792, 10, 4, 6, 6, 0, 40.0, 60.0, 4.4
"TinyTrace.trc", 256, 16, RR, 1, 16384, 14, 14, 16384, 30720, 292864, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 16, RR, 2, 16384, 15, 13, 8192, 32768, 294912, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 16, RR, 4, 16384, 16, 12, 4096, 34816, 296960, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 16, RR, 8, 16384, 17, 11, 2048, 36864, 299008, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 16, RR, 16, 16384, 18, 10, 1024, 38912, 301056, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 16, RND, 1, 16384, 14, 14, 16384, 30720, 292864, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 16, RND, 2, 16384, 15, 13, 8192, 32768, 294912, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 16, RND, 4, 16384, 16, 12, 4096, 34816, 296960, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 16, RND, 8, 16384, 17, 11, 2048, 36864, 299008, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 16, RND, 16, 16384, 18, 10, 1024, 38912, 301056, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 16, LRU, 1, 16384, 14, 14, 16384, 30720, 292864, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 16, LRU, 2, 16384, 15, 13, 8192, 32768, 294912, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 16, LRU, 4, 16384, 16, 12, 4096, 34816, 296960, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 16, LRU, 8, 16384, 17, 11, 2048, 36864, 299008, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 16, LRU, 16, 16384, 18, 10, 1024, 38912, 301056, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 32, RR, 1, 8192, 14, 13, 8192, 15360, 277504, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 32, RR, 2, 8192, 15, 12, 4096, 16384, 278528, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 32, RR, 4, 8192, 16, 11, 2048, 17408, 279552, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 32, RR, 8, 8192, 17, 10, 1024, 18432, 280576, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 32, RR, 16, 8192, 18, 9, 512, 19456, 281600, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 32, RND, 1, 8192, 14, 13, 8192, 15360, 277504, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 32, RND, 2, 8192, 15, 12, 4096, 16384, 278528, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 32, RND, 4, 8192, 16, 11, 2048, 17408, 279552, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
